,phase,S_score,G2M_score
SRR4216766,G1,-0.3178108890149518,-0.44711033314849624
SRR4216767,S,0.9699161338111018,0.0058424607917837434
SRR4216768,S,0.24198865556302507,-0.03643796773235275
SRR4216769,S,0.02105900791468729,-0.058797158601083144
SRR4216770,G1,-0.15163573170697486,-0.10651091088134224
SRR4216771,G1,-0.3062558859912561,-0.10114073416012537
SRR4216772,G1,-0.15767934043634024,-0.24493744574871956
SRR4216773,G1,-0.14677645974978693,-0.18340396778359036
SRR4216774,S,0.15570891294487388,-0.10732318933244878
SRR4216775,S,0.29867298863065783,-0.36121122670791816
SRR4216776,G1,-0.16453123293171623,-0.34964573408161215
SRR4216777,G1,-0.07719870979858767,-0.03283101543307865
SRR4216778,S,0.005398432948457654,-0.4587800214236335
SRR4216779,S,0.19153448778071713,-0.0824194000360311
SRR4216780,G2M,-0.07730234294235783,0.14307996441233506
SRR4216781,S,0.10384761702289169,0.02921562630460839
SRR4216782,G1,-0.2818650271600456,-0.35386189857553596
SRR4216783,G1,-0.27036044883032884,-0.13001305579385702
SRR4216784,G1,-0.0453934430207128,-0.039652405409842606
SRR4216785,S,0.2743637345904626,-0.20087558812368345
SRR4216786,S,0.08962494657926612,-0.061356719639728885
SRR4216787,S,0.3309769786837926,-0.07279536625284633
SRR4216788,G1,-0.44100213110998365,-0.23442588098722317
SRR4216789,S,0.13181065911500767,-0.08507361504860866
SRR4216790,S,0.001046312533742988,-0.11895279739468667
SRR4216791,S,0.4618073108652776,-0.146141031971182
SRR4216792,G1,-0.13978577515709323,-0.2072775507250677
SRR4216793,G1,-0.2761400782630863,-0.5346902374528412
SRR4216794,G1,-0.16686701794649195,-0.4061034784177969
SRR4216795,S,0.4498007977279521,0.07638917438156656
SRR4216796,G1,-0.21063136492986645,-0.30212399877882334
SRR4216797,S,0.43189633377199244,-0.01850829000814813
SRR4216798,G1,-0.017777494532673632,-0.20090917872087988
SRR4216799,S,0.20024596765858793,-0.12970461410788792
SRR4216800,S,0.12276239076982809,0.030912865477972007
SRR4216801,S,0.15345844796033414,-0.3849129655242506
SRR4216802,S,0.007871640106192679,-0.017518673752741742
SRR4216803,G1,-0.13457599273074183,-0.007685989755790601
SRR4216804,S,0.5193202706121214,-0.22196521332986063
SRR4216805,S,0.08930136036531977,-0.3220561248838478
SRR4216806,G1,-0.21180746058706545,-0.45830544765795433
SRR4216807,G1,-0.0179187420673117,-0.16558926497469484
SRR4216808,G2M,-0.033182023852888154,0.07045168480396735
SRR4216809,S,0.009687426379658026,-0.3366781373240777
SRR4216810,S,0.09483308634371657,-0.12241026934455423
SRR4216811,S,0.011030922759504902,-0.19953796478777797
SRR4216812,S,0.14380136056209702,-0.18107335378938227
SRR4216813,S,0.262466754704789,-0.23816473610928757
SRR4216814,G1,-0.06096134715164481,-0.3694196281989296
SRR4216815,G1,-0.07058307400664132,-0.06096506094800702
SRR4216816,G1,-0.23110397142089978,-0.17026517528711194
SRR4216817,S,0.3387298295235214,-0.3599359303689299
SRR4216818,S,0.09717394478821695,-0.27139283678684567
SRR4216819,G1,-0.2808051690822695,-0.23920449249567866
SRR4216820,G1,-0.19387588522365395,-0.16579773134432796
SRR4216821,G1,-0.16741777595967045,-0.17015112370224772
SRR4216822,G1,-0.10672958070302108,-0.19945255370778125
SRR4216823,G2M,-0.2615557254313219,0.052975729194547405
SRR4216824,G1,-0.024013205940796256,-0.28608914636755634
SRR4216825,G2M,-0.13712135883884202,0.09521932231363606
SRR4216826,G2M,-0.19816596627669858,0.046220361454377246
SRR4216827,G2M,0.08161301394955334,0.26643525753556874
SRR4216828,G1,-0.08932112578019602,-0.11872384295264582
SRR4216829,S,0.13310264050542786,-0.1653894910625382
SRR4216830,S,0.12934034051833643,-0.17832943708708449
SRR4216831,G1,-0.19168277330882477,-0.01793105751415147
